"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,1321487870,1321487870,1321487870,0,1321487870,1321487870,1,1321487870
0,"<unknown>","timer",1,0,68931,68931,68931,0,68931,69120,1,68931
0,"DRAM Energy","counter",1,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",1,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",1,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",1,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",1,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",1,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",2,0,12,58,104,46,116,0,1,116
0,"CPU soft IRQ %","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",2,0,137016,245352,353688,108336,490704,0,1,490704
0,"status:VmHWM kB","counter",2,0,137016,245362,353708,108346,490724,0,1,490724
0,"status:VmExe kB","counter",2,0,2772,2772,2772,0,5544,0,1,5544
0,"cholesky syrk","timer",4960,4953,590,163641,3070834,167660,811658266,811658266,96,8454774
0,"status:VmPTE kB","counter",2,0,644,1832,3020,1188,3664,0,1,3664
0,"status:VmLck kB","counter",2,0,0,0,0,0,0,0,1,0
0,"status:VmLib kB","counter",2,0,1328164,1328164,1328164,0,2656328,0,1,2656328
0,"run_helper","timer",1,3,4270,1088478,750145,0,1088478,1088478,2,544239
0,"status:VmData kB","counter",2,0,180244,911850,1643456,731606,1823700,0,1,1823700
0,"assemble K_tiles","timer",5280,5279,320,2632842,16036196,2873474,13901407848,13901407848,96,144806332
0,"status:VmSwap kB","counter",2,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",2,0,24,24,24,0,48,0,1,48
0,"status:VmPeak kB","counter",2,0,2253348,8619030,14984712,6365682,17238060,0,1,17238060
0,"status:voluntary_ctxt_switches","counter",2,0,37,145,252,108,289,0,1,289
0,"status:nonvoluntary_ctxt_switches","counter",2,0,101,104,107,3,208,0,1,208
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,35251,50916,66580,15665,101831,101888,1,101831
0,"cholesky potrf","timer",320,318,830,284797,3562038,277144,91134926,91134926,93,979945
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,16930,1873934,1814934,0,1873934,1873934,2,936967
0,"run_as_hpx_thread (void)","timer",10,515,140,104235497,170126916,0,1042354974,1042354974,93,11208118
0,"status:VmStk kB","counter",2,0,140,140,140,0,280,0,1,280
0,"CPU User %","counter",1,0,77,77,77,0,77,0,1,77
0,"CPU System %","counter",1,0,3,3,3,0,3,0,1,3
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,3044344,3044344,3044344,0,3044344,3044352,1,3044344
0,"cholesky trsm","timer",4960,6631,140,152159,5818726,338625,754708380,754708380,96,7861546
0,"status:VmPin kB","counter",2,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",2,0,2122276,8537112,14951948,6414836,17074224,0,1,17074224
0,"cholesky gemm","timer",49600,49556,610,225322,5852276,279663,11175992655,11175992655,96,116416590
0,"CPU Idle %","counter",1,0,19,19,19,0,19,0,1,19
0,"cholesky","counter",10,0,67002707,84205938,160937854,27799781,842059376,0,1,842059376
0,"CPU Nice %","counter",1,0,0,0,0,0,0,0,1,0
