"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,28340,209712,104801,0,209712,209712,2,104856
0,"cholesky","counter",50,0,484184,835187,4337042,516311,41759341,0,1,41759341
0,"run_as_hpx_thread (void)","timer",50,50,538435,5867336,171513344,23607742,293366788,293366788,60,4889446
0,"cholesky potrf","timer",50,48,1280,148065,745896,86072,7403226,7403226,31,238814
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,8950,55731,102511,46781,111461,111461,1,111461
0,"status:nonvoluntary_ctxt_switches","counter",1,0,102,102,102,0,102,0,1,102
0,"status:voluntary_ctxt_switches","counter",1,0,43,43,43,0,43,0,1,43
0,"1 Minute Load average","counter",1,0,48,48,48,0,48,0,1,48
0,"status:VmPeak kB","counter",1,0,2243092,2243092,2243092,0,2243092,0,1,2243092
0,"assemble K_tiles","timer",50,50,1440,177409,389063,41250,8870459,8870459,37,239742
0,"run_helper","timer",1,3,49060,707355,420333,0,707355,707355,3,235785
0,"status:VmSize kB","counter",1,0,2185752,2185752,2185752,0,2185752,0,1,2185752
0,"status:VmLck kB","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",1,0,0,0,0,0,0,0,1,0
0,"<unknown>","timer",1,0,39320,39320,39320,0,39320,39424,1,39320
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1218419,1218419,1218419,0,1218419,1218560,1,1218419
0,"status:VmPTE kB","counter",1,0,628,628,628,0,628,0,1,628
0,"status:VmStk kB","counter",1,0,140,140,140,0,140,0,1,140
0,"APEX MAIN","timer",1,0,360025158,360025158,360025158,0,360025158,360025158,1,360025158
0,"status:VmExe kB","counter",1,0,2772,2772,2772,0,2772,0,1,2772
0,"status:VmLib kB","counter",1,0,1328164,1328164,1328164,0,1328164,0,1,1328164
0,"status:VmHWM kB","counter",1,0,137236,137236,137236,0,137236,0,1,137236
0,"status:VmData kB","counter",1,0,178448,178448,178448,0,178448,0,1,178448
0,"status:VmSwap kB","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",1,0,137236,137236,137236,0,137236,0,1,137236
0,"status:Threads","counter",1,0,11,11,11,0,11,0,1,11
