"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,2074493838,2074493838,2074493838,0,2074493838,2074493838,1,2074493838
0,"<unknown>","timer",1,0,147403,147403,147403,0,147403,147403,1,147403
0,"DRAM Energy","counter",2,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",2,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",2,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",2,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",2,0,0,0,0,0,0,0,1,0
0,"CPU System %","counter",2,0,1,1,1,0,1,0,1,1
0,"CPU Steal %","counter",2,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",3,0,8,72,104,45,216,0,1,216
0,"CPU soft IRQ %","counter",2,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",3,0,137372,316288,442148,129957,948864,0,1,948864
0,"status:VmHWM kB","counter",3,0,137372,343816,468128,146990,1031448,0,1,1031448
0,"status:VmExe kB","counter",3,0,2772,2772,2772,0,8316,0,1,8316
0,"cholesky syrk","timer",10,10,2880,373681,446956,0,3736812,3736812,9,415201
0,"status:VmPTE kB","counter",3,0,604,1909,2832,949,5728,0,1,5728
0,"status:VmLck kB","counter",3,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",3,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",3,0,1759764,9971351,14089976,5806478,29914052,0,1,29914052
0,"status:VmLib kB","counter",3,0,1328168,1328168,1328168,0,3984504,0,1,3984504
0,"run_helper","timer",1,3,5890,897554,588389,0,897554,897554,2,448777
0,"status:VmData kB","counter",3,0,144892,966219,1518196,592116,2898656,0,1,2898656
0,"assemble K_tiles","timer",30,30,3020,1313885,1878127,0,39416543,39416543,27,1459872
0,"status:VmPeak kB","counter",3,0,1825300,10024769,14125624,5797900,30074308,0,1,30074308
0,"status:voluntary_ctxt_switches","counter",3,0,30,187,274,111,561,0,1,561
0,"status:nonvoluntary_ctxt_switches","counter",3,0,101,134,175,31,401,0,1,401
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,15970,45731,75491,29761,91461,91648,1,91461
0,"cholesky potrf","timer",20,20,2070,2664694,13928218,2564692,53293871,53293871,19,2804941
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,64711,335875,191303,0,335875,335875,2,167938
0,"run_as_hpx_thread (void)","timer",10,30,10430,54048613,185572777,40981200,540486126,540486126,31,17435036
0,"status:VmSwap kB","counter",3,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",3,0,16,16,16,0,48,0,1,48
0,"cholesky_step assembly","counter",10,0,1359249,1768474,2137991,217985,17684743,0,8,2210593
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1798076,1798076,1798076,0,1798076,1798144,1,1798076
0,"cholesky trsm","timer",10,10,4880,1300308,2874531,448467,13003077,13003077,10,1300308
0,"status:VmStk kB","counter",3,0,140,140,140,0,420,0,1,420
0,"CPU User %","counter",2,0,89,92,96,3,185,0,1,185
0,"cholesky_step cholesky","counter",10,0,5989886,7958012,23583116,5209714,79580117,0,8,9947515
0,"CPU Nice %","counter",2,0,0,0,0,0,0,0,1,0
0,"CPU Idle %","counter",2,0,4,7,10,3,14,0,1,14
0,"cholesky","counter",10,0,7517147,9742319,25744517,5338353,97423192,0,1,97423192
