"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,21580,206842,127481,0,206842,206842,2,103421
0,"cholesky","counter",50,0,536624,947014,5035050,625420,47350711,0,1,47350711
0,"cholesky_step cholesky","counter",50,0,440793,797094,4661877,578854,39854688,0,44,905788
0,"cholesky_step assembly","counter",50,0,60681,138056,366693,72900,6902787,0,44,156882
0,"run_as_hpx_thread (void)","timer",50,100,330253,6076599,173199902,23785199,303829971,303829971,73,4162054
0,"cholesky potrf","timer",50,50,760,167214,748056,81465,8360708,8360708,36,232242
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,11910,62246,112581,50336,124491,124672,1,124491
0,"status:nonvoluntary_ctxt_switches","counter",1,0,100,100,100,0,100,0,1,100
0,"status:voluntary_ctxt_switches","counter",1,0,41,41,41,0,41,0,1,41
0,"1 Minute Load average","counter",1,0,48,48,48,0,48,0,1,48
0,"status:VmPeak kB","counter",1,0,2169368,2169368,2169368,0,2169368,0,1,2169368
0,"assemble K_tiles","timer",50,49,1010,110887,261322,0,5544333,5544333,41,135228
0,"run_helper","timer",1,3,41611,841516,577894,0,841516,841516,3,280505
0,"status:VmSize kB","counter",1,0,2103832,2103832,2103832,0,2103832,0,1,2103832
0,"status:VmLck kB","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",1,0,0,0,0,0,0,0,1,0
0,"<unknown>","timer",1,0,49670,49670,49670,0,49670,49670,1,49670
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1852475,1852475,1852475,0,1852475,1852475,1,1852475
0,"status:VmPTE kB","counter",1,0,636,636,636,0,636,0,1,636
0,"status:VmStk kB","counter",1,0,140,140,140,0,140,0,1,140
0,"APEX MAIN","timer",1,0,374434489,374434489,374434489,0,374434489,374434489,1,374434489
0,"status:VmExe kB","counter",1,0,2772,2772,2772,0,2772,0,1,2772
0,"status:VmLib kB","counter",1,0,1328168,1328168,1328168,0,1328168,0,1,1328168
0,"status:VmHWM kB","counter",1,0,137180,137180,137180,0,137180,0,1,137180
0,"status:VmData kB","counter",1,0,161932,161932,161932,0,161932,0,1,161932
0,"status:VmSwap kB","counter",1,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",1,0,137180,137180,137180,0,137180,0,1,137180
0,"status:Threads","counter",1,0,10,10,10,0,10,0,1,10
