"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,25635216251,25635216251,25635216251,0,25635216251,25635216251,1,25635216251
0,"predict_full_cov_step copyback","counter",11,0,202073,270149,392596,47810,2971634,0,6,495272
0,"predict_full_cov_step ressource destroy","counter",11,0,5336449,6452062,7497461,719333,70972680,0,6,11828780
0,"full_cov gemm","timer",11,10,3000,1238735702,1241894345,0,13626092724,13626092724,11,1238735702
0,"predict_full_cov_step prediction","counter",11,0,2714800,3158440,6084860,928186,34742843,0,6,5790474
0,"DRAM Energy","counter",25,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",25,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",25,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",25,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",25,0,0,0,0,0,0,0,1,0
0,"CPU Idle %","counter",25,0,6,38,69,19,950,0,1,950
0,"predict_full_cov_step pred uncer","counter",11,0,233423,434446,912464,208470,4778909,0,6,796485
0,"CPU System %","counter",25,0,0,0,1,0,2,0,1,2
0,"CPU Nice %","counter",25,0,0,0,0,0,0,0,1,0
0,"pred_uncer diag_tile","timer",11,11,17700,338310,851233,110817,3721407,3721407,10,372141
0,"predict_full_cov_step backward","counter",11,0,1975599,2073776,2185252,73651,22811538,0,6,3801923
0,"forward trsv","timer",11,9,12150,3413050,4451846,0,37543553,37543553,11,3413050
0,"predict_full_cov_step cholesky","counter",11,0,237351916,239291292,249913839,3396123,2632204212,0,6,438700702
0,"CPU Steal %","counter",25,0,0,0,0,0,0,0,1,0
0,"backward trsv","timer",11,9,3869,2059587,2155362,0,22655462,22655462,10,2265546
0,"status:Threads","counter",26,0,8,100,104,18,2608,0,1,2608
0,"CPU soft IRQ %","counter",25,0,0,0,0,0,1,0,1,1
0,"status:VmRSS kB","counter",26,0,137172,298596,313588,33066,7763484,0,1,7763484
0,"status:VmHWM kB","counter",26,0,137172,298601,313600,33067,7763616,0,1,7763616
0,"status:VmExe kB","counter",26,0,2772,2772,2772,0,72072,0,1,72072
0,"assemble alpha_tiles","timer",11,11,3220,128224770,193548448,71636365,1410472470,1410472470,10,141047247
0,"CPU User %","counter",25,0,31,62,93,19,1547,0,1,1547
0,"status:VmStk kB","counter",26,0,140,140,140,0,3640,0,1,3640
0,"predict gemv","timer",11,10,3520,3092185,5992448,833756,34014032,34014032,10,3401403
0,"status:VmPTE kB","counter",26,0,600,1788,1844,238,46492,0,1,46492
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1751546,1751546,1751546,0,1751546,1751552,1,1751546
0,"forward_KcK trsm","timer",11,10,13530,592557896,595519007,0,6518136855,6518136855,10,651813686
0,"assemble zeros","timer",33,33,4780,146850458,199728229,61725743,4846065115,4846065115,31,156324681
0,"status:VmLck kB","counter",26,0,0,0,0,0,0,0,1,0
0,"predict_full_cov_step ressource allocation","counter",11,0,7867626,21773268,156617002,42642459,239505946,0,6,39917658
0,"predict_full_cov_step forward KcK","counter",11,0,587261201,592553173,595531768,2116484,6518084907,0,6,1086347485
0,"status:VmPin kB","counter",26,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",26,0,1694280,21334902,22459496,4248243,554707440,0,1,554707440
0,"status:VmLib kB","counter",26,0,1328192,1328192,1328192,0,34532992,0,1,34532992
0,"run_helper","timer",1,3,28521,853103,629989,0,853103,853103,2,426552
0,"status:VmData kB","counter",26,0,144776,983638,1026504,167899,25574580,0,1,25574580
0,"assemble K_tiles","timer",11,11,8310,117830658,192639375,36504857,1296137242,1296137242,10,129613724
0,"status:VmSwap kB","counter",26,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",26,0,4,35,48,16,906,0,1,906
0,"<unknown>","timer",1,0,115981,115981,115981,0,115981,115981,1,115981
0,"assemble cross_covariance_tiles","timer",11,10,12170,130582729,191847702,59076641,1436410017,1436410017,9,159601113
0,"status:VmPeak kB","counter",26,0,1743424,22164652,22983652,4084246,576280964,0,1,576280964
0,"status:voluntary_ctxt_switches","counter",26,0,99,333,350,47,8665,0,1,8665
0,"status:nonvoluntary_ctxt_switches","counter",26,0,101,105,106,1,2731,0,1,2731
0,"predict_full_cov_step forward","counter",11,0,3223828,3428275,4514657,349314,37711026,0,6,6285171
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,12540,44641,76741,32101,89281,89344,1,89281
0,"assemble prior_K_tiles_full","timer",11,11,8280,136787780,199431904,56903662,1504665582,1504665582,11,136787780
0,"cholesky potrf","timer",11,9,3740,239289330,249911209,877936,2632182628,2632182628,11,239289330
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,65981,380646,242893,0,380646,380646,2,190323
0,"run_as_hpx_thread (void)","timer",11,88,9030,37988674,156868706,33409097,417875412,417875412,62,6739926
0,"assemble t_cross_covariance_tiles","timer",11,11,9970,62456268,141701762,55061204,687018947,687018947,11,62456268
0,"predict_full_cov_step full cov","counter",11,0,1235947626,1238655216,1241825325,1456196,13625207378,0,6,2270867896
0,"predict_full_cov_step assembly","counter",11,0,194872517,202001095,203732259,2334806,2222012043,0,6,370335341
