"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,325661889898,325661889898,325661889898,2867,325661889898,325661889898,1,325661889898
0,"<unknown>","timer",1,0,461807,461807,461807,0,461807,461824,1,461807
0,"cholesky syrk","timer",10,10,18050,527527160,533643410,0,5275271604,5275271604,9,586141289
0,"DRAM Energy","counter",325,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",325,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",325,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",325,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",326,0,10,104,104,5,33810,0,1,33810
0,"CPU soft IRQ %","counter",325,0,0,0,0,0,24,0,1,24
0,"status:VmRSS kB","counter",326,0,137344,15649379,37753376,10563738,5101697568,0,1,5101697568
0,"status:VmHWM kB","counter",326,0,137344,36454659,38144712,6580899,11884218936,0,1,11884218936
0,"CPU I/O Wait %","counter",325,0,0,0,0,0,0,0,1,0
0,"status:VmExe kB","counter",326,0,2772,2772,2772,0,903672,0,1,903672
0,"status:VmPTE kB","counter",326,0,632,32249,76684,20884,10513140,0,1,10513140
0,"status:VmLck kB","counter",326,0,0,0,0,0,0,0,1,0
0,"status:VmPin kB","counter",326,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",326,0,2177556,30860649,52249920,10013770,10060571540,0,1,10060571540
0,"status:VmLib kB","counter",326,0,1328164,1328164,1328164,0,432981464,0,1,432981464
0,"run_helper","timer",1,3,42361,933345,630390,0,933345,933345,3,311115
0,"status:VmData kB","counter",326,0,161932,17233744,39251828,10704312,5618200500,0,1,5618200500
0,"assemble K_tiles","timer",30,30,21260,178829128,276171824,67606989,5364873850,5364873850,28,191602638
0,"status:VmSwap kB","counter",326,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",326,0,2,17,24,4,5517,0,1,5517
0,"status:VmPeak kB","counter",326,0,2300432,50594213,52249920,6422294,16493713348,0,1,16493713348
0,"status:voluntary_ctxt_switches","counter",326,0,140,396,488,49,129194,0,1,129194
0,"status:nonvoluntary_ctxt_switches","counter",326,0,99,745,1441,371,243005,0,1,243005
0,"CPU IRQ %","counter",325,0,0,0,0,0,0,0,1,0
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,20600,38741,56881,18141,77481,77568,1,77481
0,"cholesky potrf","timer",20,20,10080,277859655,415843824,64927476,5557193093,5557193093,17,326893711
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,39320,12911302,12742210,0,12911302,12911302,2,6455651
0,"run_as_hpx_thread (void)","timer",10,20,37891,8099406612,8195027390,0,80994066117,80994066117,26,3115156389
0,"status:VmStk kB","counter",326,0,140,140,140,0,45640,0,1,45640
0,"CPU User %","counter",325,0,4,18,93,19,5766,0,1,5766
0,"CPU System %","counter",325,0,0,1,1,0,207,0,1,207
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1827217,1827217,1827217,0,1827217,1827217,1,1827217
0,"cholesky trsm","timer",10,9,4630,664599797,666330341,0,6645997970,6645997970,10,664599797
0,"CPU Nice %","counter",325,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,1900362485,1925109993,1949639618,13688332,19251099930,0,1,19251099930
0,"CPU Idle %","counter",325,0,7,82,95,19,26504,0,1,26504
