"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,272442124762,272442124762,272442124762,1481,272442124762,272442124762,1,272442124762
0,"<unknown>","timer",1,0,186323,186323,186323,0,186323,186323,1,186323
0,"DRAM Energy","counter",272,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",272,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",272,0,0,0,0,0,0,0,1,0
0,"CPU IRQ %","counter",272,0,0,0,0,0,0,0,1,0
0,"CPU I/O Wait %","counter",272,0,0,0,0,0,0,0,1,0
0,"CPU Steal %","counter",272,0,0,0,0,0,0,0,1,0
0,"status:Threads","counter",273,0,12,104,104,6,28300,0,1,28300
0,"CPU soft IRQ %","counter",272,0,0,0,0,0,18,0,1,18
0,"status:VmRSS kB","counter",273,0,137320,12772095,31800032,9007055,3486781976,0,1,3486781976
0,"status:VmHWM kB","counter",273,0,137320,30382074,31845136,5632224,8294306184,0,1,8294306184
0,"status:VmExe kB","counter",273,0,2772,2772,2772,0,756756,0,1,756756
0,"cholesky syrk","timer",60,60,5889,165810283,576565293,145341702,9948617009,9948617009,46,216274283
0,"status:VmPTE kB","counter",273,0,664,26472,64096,17796,7226848,0,1,7226848
0,"status:VmLck kB","counter",273,0,0,0,0,0,0,0,1,0
0,"status:VmLib kB","counter",273,0,1328160,1328160,1328160,0,362587680,0,1,362587680
0,"run_helper","timer",1,3,59431,711310,389686,0,711310,711310,2,355655
0,"status:VmData kB","counter",273,0,188832,13747014,32814048,9136631,3752934828,0,1,3752934828
0,"assemble K_tiles","timer",100,100,1680,125552904,236589861,62628220,12555290409,12555290409,65,193158314
0,"status:VmSwap kB","counter",273,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",273,0,2,18,28,7,4977,0,1,4977
0,"status:VmPeak kB","counter",273,0,2368024,44416990,45859080,5632545,12125838172,0,1,12125838172
0,"status:voluntary_ctxt_switches","counter",273,0,131,377,436,31,102916,0,1,102916
0,"status:nonvoluntary_ctxt_switches","counter",273,0,104,619,1131,289,169121,0,1,169121
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,9670,47871,86072,38201,95742,95744,1,95742
0,"cholesky potrf","timer",40,40,6250,228878023,623207726,190995982,9155120917,9155120917,30,305170697
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,25671,300025,147802,0,300025,300025,2,150013
0,"run_as_hpx_thread (void)","timer",10,40,37441,6761466785,6852044552,0,67614667848,67614667848,41,1649138240
0,"status:VmStk kB","counter",273,0,140,140,140,0,38220,0,1,38220
0,"CPU User %","counter",272,0,5,18,95,22,4981,0,1,4981
0,"CPU System %","counter",272,0,0,1,1,0,173,0,1,173
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1540633,1540633,1540633,0,1540633,1540633,1,1540633
0,"cholesky trsm","timer",60,58,3280,222800732,338160871,78479490,13368043948,13368043948,45,297067643
0,"status:VmPin kB","counter",273,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",273,0,2261540,27363873,45845896,8520366,7470337440,0,1,7470337440
0,"cholesky gemm","timer",40,39,3820,353743071,578792201,126199614,14149722828,14149722828,37,382424941
0,"CPU Nice %","counter",272,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,1902348272,1925676890,1951932250,18022168,19256768896,0,1,19256768896
0,"CPU Idle %","counter",272,0,5,81,94,22,22028,0,1,22028
