"rank","name","type","num samples/calls","yields","minimum","mean","maximum","stddev","total","inclusive (ns)","num threads","total per thread"
0,"APEX MAIN","timer",1,0,293154991742,293154991742,293154991742,1588,293154991742,293154991742,1,293154991742
0,"<unknown>","timer",1,0,161603,161603,161603,0,161603,161603,1,161603
0,"cholesky syrk","timer",81280,80637,620,1255395,48414530,1704456,102038472691,102038472691,96,1062900757
0,"cholesky potrf","timer",1280,1267,980,12612764,89505861,11967413,16144337653,16144337653,96,168170184
0,"DRAM Energy","counter",292,0,0,0,0,0,0,0,1,0
0,"Package-0 Energy","counter",292,0,0,0,0,0,0,0,1,0
0,"CPU Guest %","counter",292,0,0,0,0,0,0,0,1,0
0,"status:VmHWM kB","counter",293,0,137244,28594923,30410388,5971157,8378312564,0,1,8378312564
0,"CPU I/O Wait %","counter",292,0,0,0,0,0,0,0,1,0
0,"status:VmExe kB","counter",293,0,2772,2772,2772,0,812196,0,1,812196
0,"status:VmPTE kB","counter",293,0,640,28630,61040,15017,8388588,0,1,8388588
0,"cholesky trsm","timer",81280,222639,130,4830704,38468292,3490330,392639640483,392639640483,96,4089996255
0,"N3hpx10components6server15runtime_support22load_components_actionE","timer",1,0,1810557,1810557,1810557,0,1810557,1810557,1,1810557
0,"status:VmLck kB","counter",293,0,0,0,0,0,0,0,1,0
0,"cholesky gemm","timer",3413760,3386347,420,1272346,47238673,1750559,4343484715649,4343484715649,96,45244632455
0,"status:VmPin kB","counter",293,0,0,0,0,0,0,0,1,0
0,"status:VmSize kB","counter",293,0,2112020,28440352,44238056,6650483,8333023252,0,1,8333023252
0,"status:VmLib kB","counter",293,0,1328164,1328164,1328164,0,389152052,0,1,389152052
0,"run_helper","timer",1,3,87422,1033346,689191,0,1033346,1033346,3,344449
0,"status:VmData kB","counter",293,0,170124,14756584,31270540,7665399,4323678996,0,1,4323678996
0,"assemble K_tiles","timer",82560,81792,400,13531287,177631553,15357707,1117143028031,1117143028031,96,11636906542
0,"status:VmSwap kB","counter",293,0,0,0,0,0,0,0,1,0
0,"1 Minute Load average","counter",293,0,2,17,28,6,5121,0,1,5121
0,"status:VmPeak kB","counter",293,0,2112020,42930201,44485416,5715874,12578549008,0,1,12578549008
0,"status:voluntary_ctxt_switches","counter",293,0,124,418,447,28,122580,0,1,122580
0,"status:nonvoluntary_ctxt_switches","counter",293,0,101,619,1211,326,181308,0,1,181308
0,"CPU IRQ %","counter",292,0,0,0,0,0,0,0,1,0
0,"status:VmRSS kB","counter",293,0,137244,13242643,29928768,7637402,3880094272,0,1,3880094272
0,"CPU soft IRQ %","counter",292,0,0,0,0,0,14,0,1,14
0,"N3hpx10components6server15runtime_support29call_startup_functions_actionE","timer",2,0,24900,82261,139622,57361,164522,164864,1,164522
0,"N3hpx10components6server15runtime_support19shutdown_all_actionE","timer",1,2,38581,514468,303964,0,514468,514468,2,257234
0,"run_as_hpx_thread (void)","timer",10,30693,130,5769295771,4415046887,0,57692957705,57692957705,96,600968309
0,"status:VmStk kB","counter",293,0,140,140,140,0,41020,0,1,41020
0,"CPU User %","counter",292,0,1,15,92,15,4407,0,1,4407
0,"CPU System %","counter",292,0,0,1,6,2,401,0,1,401
0,"CPU Nice %","counter",292,0,0,0,0,0,0,0,1,0
0,"cholesky","counter",10,0,6664226573,6726583134,6786212639,42853154,67265831336,0,1,67265831336
0,"CPU Idle %","counter",292,0,7,83,98,15,24379,0,1,24379
0,"status:Threads","counter",293,0,11,104,104,5,30379,0,1,30379
0,"CPU Steal %","counter",292,0,0,0,0,0,0,0,1,0
