n_cores,n_train,n_test,n_tiles,n_reg,i_loop,time
12,16384,16384,4,8,1,41.88353729248047
12,16384,16384,4,8,2,42.053014516830444
12,16384,16384,4,8,3,41.86149477958679
12,16384,16384,4,8,4,41.393508195877075
12,16384,16384,4,8,5,42.23091983795166
12,16384,16384,4,8,6,42.52915954589844
12,16384,16384,4,8,7,41.05329179763794
12,16384,16384,4,8,8,42.6469783782959
12,16384,16384,4,8,9,41.91045379638672
12,16384,16384,4,8,10,40.300405740737915
12,16384,16384,8,8,0,32.36433029174805
12,16384,16384,8,8,1,32.25545835494995
12,16384,16384,8,8,2,32.66434597969055
12,16384,16384,8,8,3,32.23728609085083
12,16384,16384,8,8,4,32.16076302528381
12,16384,16384,8,8,5,31.697343826293945
12,16384,16384,8,8,6,32.19293785095215
12,16384,16384,8,8,7,32.59044122695923
12,16384,16384,8,8,8,31.269129991531372
12,16384,16384,8,8,9,31.645467042922974
12,16384,16384,8,8,10,32.582119941711426
12,16384,16384,16,8,0,12.654128551483154
12,16384,16384,16,8,1,10.482710599899292
12,16384,16384,16,8,2,10.499123573303223
12,16384,16384,16,8,3,10.44436764717102
12,16384,16384,16,8,4,9.870055913925171
12,16384,16384,16,8,5,9.948938369750977
12,16384,16384,16,8,6,10.464348554611206
12,16384,16384,16,8,7,9.96968960762024
12,16384,16384,16,8,8,9.682750940322876
12,16384,16384,16,8,9,10.129013538360596
12,16384,16384,16,8,10,10.10233187675476
12,16384,16384,32,8,0,11.422221899032593
12,16384,16384,32,8,1,9.149034023284912
12,16384,16384,32,8,2,9.289614915847778
12,16384,16384,32,8,3,9.282455682754517
12,16384,16384,32,8,4,9.14802098274231
12,16384,16384,32,8,5,9.236759662628174
12,16384,16384,32,8,6,9.232397079467773
12,16384,16384,32,8,7,9.18341612815857
12,16384,16384,32,8,8,9.204394817352295
12,16384,16384,32,8,9,9.280082941055298
12,16384,16384,32,8,10,9.268223762512207
12,16384,16384,64,8,0,10.4404616355896
12,16384,16384,64,8,1,9.542555809020996
12,16384,16384,64,8,2,9.62313199043274
12,16384,16384,64,8,3,9.683936834335327
12,16384,16384,64,8,4,9.44987678527832
12,16384,16384,64,8,5,9.538949966430664
12,16384,16384,64,8,6,9.656914949417114
12,16384,16384,64,8,7,9.653549194335938
12,16384,16384,64,8,8,9.535981178283691
12,16384,16384,64,8,9,9.748635053634644
12,16384,16384,64,8,10,9.754744052886963
12,16384,16384,128,8,0,27.58230710029602
12,16384,16384,128,8,1,26.33450746536255
12,16384,16384,128,8,2,25.736546516418457
12,16384,16384,128,8,3,20.016459703445435
12,16384,16384,128,8,4,25.90353536605835
12,16384,16384,128,8,5,26.730425596237183
12,16384,16384,128,8,6,26.08424425125122
12,16384,16384,128,8,7,26.19001293182373
12,16384,16384,128,8,8,27.026716709136963
12,16384,16384,128,8,9,26.031883239746094
12,16384,16384,128,8,10,20.13922119140625
24,16384,16384,1,8,0,297.76975774765015
24,16384,16384,1,8,1,297.51652550697327
24,16384,16384,1,8,2,305.25067496299744
24,16384,16384,1,8,3,320.174955368042
24,16384,16384,1,8,4,309.33617973327637
24,16384,16384,1,8,5,298.3613951206207
24,16384,16384,1,8,6,299.86833906173706
24,16384,16384,1,8,7,303.59721875190735
24,16384,16384,1,8,8,313.81996965408325
24,16384,16384,1,8,9,299.280091047287
24,16384,16384,1,8,10,299.431179523468
24,16384,16384,2,8,0,99.27309584617615
24,16384,16384,2,8,1,89.34615659713745
24,16384,16384,2,8,2,106.4534182548523
24,16384,16384,2,8,3,104.64000582695007
24,16384,16384,2,8,4,96.45025300979614
24,16384,16384,2,8,5,94.95020723342896
24,16384,16384,2,8,6,103.1504454612732
24,16384,16384,2,8,7,108.93551921844482
24,16384,16384,2,8,8,91.85807728767395
24,16384,16384,2,8,9,88.5025622844696
24,16384,16384,2,8,10,98.12425231933594
24,16384,16384,4,8,0,42.58005356788635
24,16384,16384,4,8,1,43.0041983127594
24,16384,16384,4,8,2,39.30737829208374
24,16384,16384,4,8,3,42.00801491737366
24,16384,16384,4,8,4,41.10706377029419
24,16384,16384,4,8,5,37.43269085884094
24,16384,16384,4,8,6,41.821420669555664
24,16384,16384,4,8,7,40.374858379364014
24,16384,16384,4,8,8,42.23985505104065
24,16384,16384,4,8,9,39.605170011520386
24,16384,16384,4,8,10,41.750097036361694
24,16384,16384,8,8,0,32.83557987213135
24,16384,16384,8,8,1,32.40240931510925
24,16384,16384,8,8,2,31.977599620819092
24,16384,16384,8,8,3,31.69969153404236
24,16384,16384,8,8,4,31.291984796524048
24,16384,16384,8,8,5,31.698636054992676
24,16384,16384,8,8,6,32.13903474807739
24,16384,16384,8,8,7,31.741357803344727
24,16384,16384,8,8,8,32.577823877334595
24,16384,16384,8,8,9,32.12090253829956
24,16384,16384,8,8,10,32.86212706565857
24,16384,16384,16,8,0,12.59477972984314
24,16384,16384,16,8,1,10.50588345527649
24,16384,16384,16,8,2,10.201956272125244
24,16384,16384,16,8,3,9.956192970275879
24,16384,16384,16,8,4,9.903651714324951
24,16384,16384,16,8,5,9.982004165649414
24,16384,16384,16,8,6,9.75939130783081
24,16384,16384,16,8,7,9.787254571914673
24,16384,16384,16,8,8,9.876657485961914
24,16384,16384,16,8,9,9.874478816986084
24,16384,16384,16,8,10,9.882225036621094
24,16384,16384,32,8,0,11.00300145149231
24,16384,16384,32,8,1,9.24899673461914
24,16384,16384,32,8,2,9.288964986801147
24,16384,16384,32,8,3,9.320076942443848
24,16384,16384,32,8,4,9.23418402671814
24,16384,16384,32,8,5,9.210788249969482
24,16384,16384,32,8,6,9.173738479614258
24,16384,16384,32,8,7,9.19504451751709
24,16384,16384,32,8,8,9.24950361251831
24,16384,16384,32,8,9,9.26355528831482
24,16384,16384,32,8,10,9.31243371963501
24,16384,16384,64,8,0,10.382700443267822
24,16384,16384,64,8,1,9.589346408843994
24,16384,16384,64,8,2,9.64005422592163
24,16384,16384,64,8,3,9.598630666732788
24,16384,16384,64,8,4,9.683451890945435
24,16384,16384,64,8,5,9.52957820892334
24,16384,16384,64,8,6,9.53356409072876
24,16384,16384,64,8,7,9.638057231903076
24,16384,16384,64,8,8,9.61637020111084
24,16384,16384,64,8,9,9.653887033462524
24,16384,16384,64,8,10,9.648561954498291
24,16384,16384,128,8,0,27.782132625579834
24,16384,16384,128,8,1,27.104074716567993
24,16384,16384,128,8,2,25.579935550689697
24,16384,16384,128,8,3,20.12062644958496
24,16384,16384,128,8,4,25.699604511260986
24,16384,16384,128,8,5,26.157657384872437
24,16384,16384,128,8,6,25.931073665618896
24,16384,16384,128,8,7,25.89842414855957
24,16384,16384,128,8,8,24.004459142684937
24,16384,16384,128,8,9,26.082584857940674
24,16384,16384,128,8,10,25.965942859649658
48,16384,16384,1,8,0,299.5923261642456
48,16384,16384,1,8,1,297.4800217151642
48,16384,16384,1,8,2,300.1613585948944
48,16384,16384,1,8,3,308.2461576461792
48,16384,16384,1,8,4,305.5115587711334
48,16384,16384,1,8,5,301.27856612205505
48,16384,16384,1,8,6,298.225533246994
48,16384,16384,1,8,7,297.12248516082764
48,16384,16384,1,8,8,299.0945813655853
48,16384,16384,1,8,9,300.73743748664856
48,16384,16384,1,8,10,316.77500104904175
48,16384,16384,2,8,0,110.4707202911377
48,16384,16384,2,8,1,88.39526319503784
48,16384,16384,2,8,2,104.29064106941223
48,16384,16384,2,8,3,89.359854221344
48,16384,16384,2,8,4,87.05640006065369
48,16384,16384,2,8,5,87.84833335876465
48,16384,16384,2,8,6,89.03556871414185
48,16384,16384,2,8,7,104.45697021484375
48,16384,16384,2,8,8,111.18168497085571
48,16384,16384,2,8,9,91.39652395248413
48,16384,16384,2,8,10,97.21388077735901
48,16384,16384,4,8,0,41.70689010620117
48,16384,16384,4,8,1,43.150524616241455
48,16384,16384,4,8,2,42.63700532913208
48,16384,16384,4,8,3,40.413124322891235
48,16384,16384,4,8,4,42.31538796424866
48,16384,16384,4,8,5,40.7400381565094
48,16384,16384,4,8,6,43.4422607421875
48,16384,16384,4,8,7,41.30087232589722
48,16384,16384,4,8,8,41.272625207901
48,16384,16384,4,8,9,45.18894052505493
48,16384,16384,4,8,10,39.094252824783325
48,16384,16384,8,8,0,31.89681339263916
48,16384,16384,8,8,1,32.12921333312988
48,16384,16384,8,8,2,32.60676550865173
48,16384,16384,8,8,3,31.22541618347168
48,16384,16384,8,8,4,31.47414541244507
48,16384,16384,8,8,5,31.808784008026123
48,16384,16384,8,8,6,31.670313358306885
48,16384,16384,8,8,7,32.66995024681091
48,16384,16384,8,8,8,32.54168915748596
48,16384,16384,8,8,9,32.29885983467102
48,16384,16384,8,8,10,32.3207643032074
48,16384,16384,16,8,0,12.361031770706177
48,16384,16384,16,8,1,10.310750484466553
48,16384,16384,16,8,2,10.287829399108887
48,16384,16384,16,8,3,10.365165948867798
48,16384,16384,16,8,4,10.10274362564087
48,16384,16384,16,8,5,9.900244235992432
48,16384,16384,16,8,6,10.19994831085205
48,16384,16384,16,8,7,9.90970492362976
48,16384,16384,16,8,8,9.869501829147339
48,16384,16384,16,8,9,9.793558835983276
48,16384,16384,16,8,10,10.08629035949707
48,16384,16384,32,8,0,12.149254560470581
48,16384,16384,32,8,1,9.25552225112915
48,16384,16384,32,8,2,9.31200909614563
48,16384,16384,32,8,3,9.305200576782227
48,16384,16384,32,8,4,9.272166728973389
48,16384,16384,32,8,5,9.162890672683716
48,16384,16384,32,8,6,9.28035855293274
48,16384,16384,32,8,7,9.245519638061523
48,16384,16384,32,8,8,9.248514175415039
48,16384,16384,32,8,9,9.200380802154541
48,16384,16384,32,8,10,9.214473962783813
48,16384,16384,64,8,0,10.42832064628601
48,16384,16384,64,8,1,9.544256687164307
48,16384,16384,64,8,2,9.596781730651855
48,16384,16384,64,8,3,9.602100610733032
48,16384,16384,64,8,4,9.55141019821167
48,16384,16384,64,8,5,9.597541809082031
48,16384,16384,64,8,6,9.528165102005005
48,16384,16384,64,8,7,9.653986692428589
48,16384,16384,64,8,8,10.144774675369263
48,16384,16384,64,8,9,9.635396718978882
48,16384,16384,64,8,10,9.695748090744019
48,16384,16384,128,8,0,27.696664333343506
48,16384,16384,128,8,1,26.82600474357605
48,16384,16384,128,8,2,26.066134214401245
48,16384,16384,128,8,3,26.209694862365723
48,16384,16384,128,8,4,26.357242584228516
48,16384,16384,128,8,5,26.14368486404419
48,16384,16384,128,8,6,25.91467022895813
48,16384,16384,128,8,7,26.34125280380249
48,16384,16384,128,8,8,26.231613636016846
48,16384,16384,128,8,9,26.488195180892944
48,16384,16384,128,8,10,25.954105377197266
